date;time;kinds;mode
2020:10:27;15:14:11;1;2
2020:10:27;15:14:11;2;2
2020:10:27;15:14:17;1;1
2020:10:27;15:15:22;1;2
2020:10:27;16:19:07;1;2
2020:10:27;16:19:07;2;2
2020:10:27;16:19:15;1;1
2020:10:27;16:20:21;1;2
2020:10:27;16:20:23;1;1
2020:10:27;16:20:26;1;2
2020:10:27;16:20:28;1;1
2020:10:27;16:20:34;1;2
2020:10:27;16:20:35;1;1
2020:10:27;16:20:37;1;2
2020:10:27;16:20:39;1;1
2020:10:27;16:20:40;1;2
2020:10:27;16:20:52;1;1
2020:10:27;16:20:53;1;2
2020:10:27;16:20:54;1;1
2020:10:27;16:20:59;1;2
2020:10:27;16:26:53;1;2
2020:10:27;16:26:53;2;2
2020:10:27;16:27:38;1;1
2020:10:27;16:27:47;1;2
2020:10:27;16:27:48;1;2
2020:10:27;16:27:52;1;2
2020:10:27;16:30:52;1;1
2020:10:27;16:31:56;1;2
2020:10:27;16:31:57;1;2
2020:10:27;16:32:23;1;2
2020:10:27;16:54:58;1;1
2020:10:27;16:56:12;1;2
2020:10:27;16:56:13;1;2
2020:10:27;16:57:02;1;2
2020:10:27;17:17:04;1;1
2020:10:27;17:17:18;1;2
2020:10:27;17:41:29;1;2
2020:10:27;17:41:29;2;2
2020:10:27;17:41:48;1;1
2020:10:27;17:43:02;1;2
2020:10:27;17:43:03;1;2
2020:10:27;17:43:23;1;2
2020:10:27;17:57:07;1;2
2020:10:27;17:57:07;2;2
2020:10:27;17:57:13;1;1
2020:10:27;17:58:19;1;2
2020:10:28;13:00:792091;1;2
2020:10:28;13:00:47;2;2
2020:10:28;13:00:288752;1;1
2020:10:28;13:02:757374;1;2
2020:10:30;13:55:403656;1;2
2020:10:30;13:55:32;2;2
2020:10:30;13:55:691424;1;1
2020:10:30;13:56:245471;1;2
2020:10:30;16:29:868969;1;2
2020:10:30;16:29:52;2;2
2020:10:30;16:29:558767;1;1
2020:10:30;16:31:331868;1;2
2020:11:02;09:25:238849;1;2
2020:11:02;09:25:02;2;2
2020:11:02;10:33:585613;1;2
2020:11:02;10:33:53;2;2
2020:11:02;10:33:968319;1;1
2020:11:02;10:35:659850;1;2
2020:11:02;10:39:133147;1;2
2020:11:02;10:39:56;2;2
2020:11:02;10:40:518670;1;1
2020:11:02;10:41:499755;1;2
2020:11:02;10:41:124205;1;1
2020:11:02;10:41:998548;1;2
2020:11:02;10:41:465039;1;2
2020:11:02;10:41:207177;1;2
2020:11:02;10:51:51;2;2
2020:11:02;10:51:693600;1;2
2020:11:02;10:51:476304;1;2
2020:11:02;10:52:264241;1;2
2020:11:02;10:52:369989;1;1
2020:11:02;10:53:767262;1;2
2020:11:02;10:54:241650;1;2
2020:11:02;10:54:13;2;2
2020:11:02;10:54:620037;1;1
2020:11:02;10:54:998989;1;2
2020:11:02;11:21:764101;1;2
2020:11:02;11:21:22;2;2
2020:11:02;11:21:360462;1;1
2020:11:02;11:22:730592;1;2
2020:11:02;11:31:986375;1;2
2020:11:02;11:31:42;2;2
2020:11:04;18:09:449786;1;2
2020:11:04;18:09:921054;1;2
2020:11:04;18:09:26;2;2
2020:11:04;18:09:28;2;0
2020:11:04;18:09:724274;1;2
2020:11:04;18:09:997121;1;2
2020:11:04;18:10:084988;1;2
2020:11:04;18:10:652914;1;2
2020:11:04;18:10:037507;1;2
2020:11:04;18:10:24;2;2
2020:11:04;18:10:37;2;1
2020:11:04;18:10:679233;1;1
2020:11:04;18:10:50;2;2
2020:11:04;18:10:894729;1;2
2020:11:04;18:10:668426;1;2
2020:11:04;18:11:956179;1;2
2020:11:04;18:11:728039;1;2
2020:11:04;18:11:330389;1;2
2020:11:04;18:11:13;2;1
2020:11:04;18:11:33;2;2
2020:11:04;18:11:38;2;0
2020:11:04;18:11:39;2;2
2020:11:04;18:11:657210;1;1
2020:11:04;18:12:665569;1;2
2020:11:04;18:13:616035;1;1
2020:11:04;18:14:786807;1;2
2020:11:04;18:16:24;2;1
2020:11:04;18:16:36;2;2
2020:11:04;18:17:16;2;1
2020:11:04;18:17:51;2;2
2020:11:04;18:18:518225;1;1
2020:11:04;18:18:153147;1;2
2020:11:04;18:18:546477;1;1
2020:11:04;18:19:144993;1;2
2020:11:04;18:19:54;2;1
2020:11:04;18:21:54;2;2
2020:11:04;18:27:505761;1;2
2020:11:04;18:27:57;2;2
2020:11:04;18:28:178447;1;2
2020:11:04;18:28:08;2;2
2020:11:04;18:28:16;2;1
2020:11:04;18:28:17;2;2
2020:11:04;18:30:820660;1;1
2020:11:04;18:30:034388;1;2
2020:11:04;18:30:214250;1;2
2020:11:04;18:30:171266;1;2
2020:11:04;18:30:342156;1;2
2020:11:04;18:31:485574;1;2
2020:11:04;18:48:699873;1;2
2020:11:04;18:48:57;2;2
2020:11:04;18:49:05;2;1
2020:11:04;18:49:113495;1;1
2020:11:04;18:49:470204;1;2
2020:11:04;18:49:40;2;2
2020:11:10;11:09:917216;1;2
2020:11:10;11:15:644391;1;2
2020:11:10;11:15:427546;1;1
2020:11:10;11:15:855184;1;1
2020:11:10;11:15:530178;1;2
2020:11:10;12:54:176832;1;2
2020:11:10;12:58:722557;1;2
2020:11:10;13:00:845067;1;2
2020:11:10;13:00:034306;1;1
2020:11:10;13:00:614961;1;2
2020:11:10;14:24:916450;2;2
2020:11:10;14:24:916172;1;2
2020:11:10;14:25:834002;1;2
2020:11:10;14:25:835180;2;2
2020:11:10;14:25:878936;1;2
2020:11:10;14:25:884026;2;2
2020:11:10;14:25:082140;1;1
2020:11:10;14:25:789529;2;1
2020:11:10;14:26:385345;2;2
2020:11:10;14:26:413688;1;2
2020:11:10;17:05:987279;1;2
2020:11:10;17:06:940981;2;2
2020:11:10;17:06:941772;1;2
2020:11:10;17:06:212524;2;1
2020:11:10;17:07:570642;2;2
2020:11:10;17:07:127351;1;1
2020:11:10;17:08:196008;1;2
2020:11:10;17:08:688657;2;1
2020:11:10;17:08:574374;2;2
2020:11:10;17:08:511096;1;1
2020:11:10;17:08:592147;1;2
2020:11:10;17:08:361722;1;2
2020:11:10;17:08:798465;1;2
2020:11:10;17:08:972599;1;2
2020:11:10;17:08:759242;1;2
2020:11:10;17:09:935108;1;1
2020:11:10;17:10:505168;1;2
2020:11:10;17:10:228262;2;1
2020:11:10;17:10:408565;2;2
2020:11:10;17:10:414675;2;2
2020:11:10;17:10:897180;2;2
2020:11:10;17:17:479356;1;2
2020:11:10;17:17:478773;2;2
2020:11:10;17:17:439122;2;2
2020:11:10;17:17:438600;1;2
2020:11:10;17:17:021214;1;2
2020:11:10;17:17:352054;1;2
2020:11:10;17:18:902440;1;2
2020:11:10;17:18:906553;2;2
2020:11:10;17:18:650190;1;1
2020:11:10;17:19:407850;1;2
2020:11:10;17:19:568581;2;1
2020:11:10;17:21:886719;2;2
2020:11:10;17:21:664762;1;1
2020:11:10;17:23:067189;1;2
2020:11:17;11:27:957787;1;2
2020:11:17;11:27:957185;2;2
2020:11:17;11:27:366830;2;1
2020:11:17;11:27:269203;2;2
2020:11:17;14:26:278094;2;2
2020:11:17;14:26:277529;1;2
2020:11:17;14:27:172592;1;2
2020:11:17;14:27:180174;2;2
2020:11:17;14:27:284155;2;1
2020:11:17;14:27:182966;2;2
2020:11:17;14:27:087026;1;1
2020:11:17;14:27:763625;1;2
2020:11:18;17:19:721869;1;2
2020:11:18;17:19:727953;2;2
2020:11:18;17:19:876036;2;1
2020:11:18;17:19:109101;1;1
2020:11:18;17:19:593885;1;2
2020:11:18;17:19:881553;2;2
2020:11:18;17:28:549371;2;2
2020:11:18;17:35:684969;1;2
2020:11:18;17:35:684611;2;2
2020:11:18;17:35:319062;2;1
2020:11:18;17:36:699624;1;1
2020:11:18;17:36:892324;1;2
2020:11:18;17:36:040823;2;2
2020:11:18;18:03:883144;2;1
2020:11:18;18:03:187448;1;1
2020:11:18;18:03:143865;2;2
2020:11:18;18:03:709756;1;2
2020:11:27;12:52:693491;2;2
2020:11:27;12:52:694019;1;2
2020:11:27;13:15:247721;1;2
2020:11:27;13:15:694097;2;2
2020:11:27;13:15:696437;1;2
2020:12:03;09:23:389812;1;2
2020:12:03;09:23:662839;2;2
2020:12:03;09:24:957912;2;1
2020:12:03;09:24:430273;2;2
2020:12:03;09:42:294812;1;2
2020:12:03;09:42:294277;2;2
2020:12:03;09:42:263604;1;2
2020:12:03;09:42:689333;1;2
2020:12:03;09:42:465945;2;1
2020:12:03;09:42:939359;2;2
2020:12:03;14:18:458894;2;2
2020:12:03;14:18:346240;2;1
2020:12:03;14:18:099334;2;2
2020:12:03;14:18:269911;2;1
2020:12:03;14:18:546847;2;2
2020:12:03;14:18:420467;2;1
2020:12:03;14:18:193295;2;2
2020:12:03;15:25:731692;2;2
2020:12:03;15:25:731155;1;2
2020:12:03;15:32:185375;2;2
2020:12:03;15:32:973221;2;1
2020:12:03;15:32:846252;2;2
2020:12:03;15:32:351073;2;1
2020:12:03;15:32:434204;2;2
2020:12:03;15:32:098805;2;2
2020:12:03;15:32:330833;2;2
2020:12:03;15:34:792566;2;1
2020:12:03;15:34:465440;2;2
2020:12:03;15:35:916993;1;2
2020:12:03;15:35:305697;2;2
2020:12:03;15:37:223085;1;2
2020:12:03;15:37:224983;2;2
2020:12:03;15:37:901272;1;2
2020:12:03;15:37:135139;1;2
2020:12:03;15:37:116826;2;1
2020:12:03;15:37:091509;2;2
2020:12:03;15:37:012052;1;1
2020:12:03;15:37:587763;1;2
2020:12:03;15:37:453267;1;2
2020:12:03;15:37:947669;1;2
2020:12:03;15:55:577926;1;2
2020:12:03;15:55:602487;2;2
2020:12:03;15:59:951385;1;1
2020:12:03;15:59:424818;1;2
2020:12:03;15:59:053067;2;1
2020:12:03;15:59:828003;2;2
2020:12:03;18:00:653377;1;1
2020:12:03;18:00:122473;1;2
2020:12:03;18:01:055715;2;1
2020:12:03;18:01:828395;2;2
2020:12:04;09:13:309197;1;2
2020:12:04;09:13:310881;2;2
2020:12:04;09:13:842983;1;2
2020:12:04;09:14:265472;1;2
2020:12:04;09:14:280632;2;2
2020:12:04;09:14:057700;2;1
2020:12:04;09:14:936153;2;2
2020:12:04;09:14:201939;2;2
2020:12:04;09:14:834789;2;2
2020:12:04;09:14:167507;1;1
2020:12:04;09:14:743016;1;2
2020:12:04;09:15:717029;2;1
2020:12:04;09:15:388642;2;2
2020:12:04;09:18:237413;2;1
2020:12:04;09:18:071107;2;2
2020:12:04;09:20:422041;2;1
2020:12:04;09:20:997376;2;2
2020:12:04;09:20:561488;2;2
2020:12:04;09:20:739075;2;2
2020:12:04;09:21:616824;2;1
2020:12:04;09:21:589767;2;2
2020:12:04;09:21:157888;2;2
2020:12:04;09:21:196919;2;2
2020:12:04;09:22:203550;2;1
2020:12:04;09:22:779091;2;2
2020:12:04;09:26:116242;2;1
2020:12:04;09:26:188009;2;2
2020:12:04;09:26:553443;2;2
2020:12:04;09:26:590211;2;2
2020:12:04;09:35:616973;1;2
2020:12:04;09:35:649965;2;2
2020:12:04;09:35:298043;1;1
2020:12:04;09:35:967945;1;2
2020:12:04;09:35:828221;2;1
2020:12:04;09:35:502733;2;2
2020:12:04;09:38:887502;2;1
2020:12:04;09:39:706022;2;2
2020:12:04;09:41:401597;2;1
2020:12:04;09:43:038055;2;2
2020:12:04;14:14:704963;2;1
2020:12:04;14:15:590610;2;2
2020:12:04;14:15:757524;2;2
2020:12:04;14:15:307141;2;2
2020:12:04;14:15:386191;2;1
2020:12:04;14:15:268955;2;2
2020:12:04;14:15:835418;2;2
2020:12:04;14:15:416646;2;2
2020:12:04;14:15:593410;2;1
2020:12:04;14:20:292890;2;2
2020:12:08;07:26:132726;2;2
2020:12:08;07:26:134440;1;2
2020:12:08;07:35:509621;2;1
2020:12:08;07:36:550203;2;2
2020:12:08;07:36:372165;2;1
2020:12:08;07:37:914445;2;2
2020:12:08;09:11:666471;1;2
2020:12:08;09:11:668114;2;2
2020:12:08;09:17:009294;2;1
2020:12:08;09:21:866090;2;2
2020:12:08;17:16:097008;1;2
2020:12:08;17:16:112939;2;2
2020:12:09;18:08:405449;1;2
2020:12:09;18:08:407311;2;2
2020:12:09;18:08:776018;2;2
2020:12:09;18:08:504236;2;2
2020:12:09;18:09:516939;2;2
2020:12:09;18:09:539658;1;2
2020:12:09;18:09:813557;1;1
2020:12:09;18:09:793619;1;2
2020:12:09;18:10:457707;1;2
2020:12:09;18:10:571475;1;2
2020:12:09;18:10:447631;2;1
2020:12:09;18:10:948455;2;2
2020:12:10;12:49:557082;2;2
2020:12:10;12:49:560207;1;2
2020:12:10;12:49:563591;1;1
2020:12:10;12:49:038998;1;2
2020:12:10;12:49:665477;2;1
2020:12:10;12:49:238672;2;2
2020:12:10;12:49:264201;2;1
2020:12:10;12:52:169169;1;1
2020:12:10;12:53:747093;1;2
2020:12:10;12:53:606442;2;2
2020:12:14;15:02:585271;1;2
2020:12:14;15:02:586833;2;2
2020:12:14;15:03:732051;2;1
2020:12:14;15:07:902409;2;2
2020:12:25;11:00:193517;2;2
2020:12:25;11:00:910423;1;2
2020:12:25;11:01:499503;1;1
2020:12:25;11:01:081936;1;2
2020:12:25;11:01:346562;1;2
2020:12:25;11:01:877081;1;2
2020:12:25;11:01:141852;1;2
2020:12:25;11:01:818934;1;2
2020:12:25;11:01:128723;2;1
2020:12:25;11:01:003066;2;2
2020:12:25;11:02:484669;1;1
2020:12:25;11:02:860385;1;2
2020:12:25;11:02:467301;2;1
2020:12:25;11:02:341127;2;2
2020:12:25;11:02:019084;2;1
2020:12:25;11:02:689007;2;2
2020:12:25;11:02:153620;2;2
2020:12:25;11:02:829991;2;2
2020:12:25;11:02:717146;2;1
2020:12:25;11:02:888580;2;2
2020:12:25;11:02:773331;1;1
2020:12:25;11:02:545502;1;2
2020:12:25;11:02:309382;1;2
2020:12:25;11:02:985004;1;2
2020:12:25;11:02:551537;1;2
2020:12:25;11:02:368797;2;1
2020:12:25;11:02:141447;2;2
2020:12:25;11:02:351817;1;2
2020:12:25;11:04:265529;1;2
2020:12:25;11:04:272247;2;2
2020:12:25;11:04:163254;2;1
2020:12:25;11:04:143269;2;2
2020:12:25;11:04:367639;1;1
2020:12:25;11:04:045928;1;2
2020:12:25;11:04:811757;1;2
2020:12:25;11:04:446065;1;2
2020:12:25;11:04:112656;1;2
2020:12:25;11:04:215271;1;2
2020:12:25;11:04:232145;2;1
2020:12:25;11:04:510217;2;2
2020:12:25;11:04:975175;2;2
2020:12:25;11:05:656301;2;2
2020:12:25;11:05:264127;2;1
2020:12:25;11:05:835657;2;2
2020:12:25;11:05:223806;2;1
2020:12:25;11:05:793910;2;2
2020:12:25;11:05:258602;2;2
2020:12:25;11:05:637160;2;2
2020:12:25;11:08:828716;1;2
2020:12:25;11:08:843686;2;2
2020:12:25;11:08:669804;1;1
2020:12:25;11:08:445657;1;2
2020:12:25;11:08:316968;1;2
2020:12:25;11:08:049115;1;2
2020:12:25;11:08:780417;2;1
2020:12:25;11:08:454812;2;2
2020:12:25;11:08:124218;2;2
2020:12:25;11:08:103770;2;2
2020:12:25;11:09:203485;2;1
2020:12:25;11:09:477280;2;2
2020:12:25;11:14:740564;2;2
2020:12:25;11:14:741401;1;2
2020:12:25;11:15:435904;1;1
2020:12:25;11:15:008246;1;2
2020:12:25;11:15:417830;2;1
2020:12:25;11:15:594981;2;2
2020:12:25;11:17:329877;2;1
2020:12:25;11:17:705055;2;2
2020:12:25;11:17:932609;1;1
2020:12:25;11:17:203532;1;2
2020:12:25;11:17:282799;1;1
2020:12:25;11:17:956267;1;2
2020:12:25;11:17:897984;2;1
2020:12:25;11:17:069457;2;2
2020:12:25;11:17:055075;2;1
2020:12:25;11:18:035595;2;2
2020:12:25;11:18:800688;2;2
2020:12:25;11:18:740540;2;2
2020:12:25;11:18:456528;1;2
2020:12:25;11:19:398750;1;1
2020:12:25;11:19:871980;1;2
2020:12:25;11:19:955419;1;1
2020:12:25;11:19:929629;1;2
2020:12:25;11:19:395494;1;2
2020:12:25;11:19:626082;1;2
2020:12:25;11:21:263664;1;2
2020:12:25;11:21:772002;2;2
2020:12:25;11:21:939556;2;2
2020:12:25;11:21:771439;2;2
2020:12:25;11:22:339203;2;2
2020:12:25;11:22:151208;1;1
2020:12:25;11:22:529166;1;2
2020:12:25;11:22:887501;2;2
2020:12:25;11:22:456462;2;2
2020:12:25;11:22:933254;2;2
2020:12:25;11:22:800532;2;2
2020:12:25;11:22:583365;2;2
2020:12:25;11:22:654406;2;1
2020:12:25;11:22:090222;2;2
2020:12:25;11:22:354316;2;2
2020:12:25;11:22:800631;2;2
2020:12:25;11:22:065786;2;2
2020:12:25;11:22:240581;2;2
2020:12:25;11:22:167089;2;2
2020:12:25;11:22:643152;2;2
2020:12:25;11:22:809347;2;2
2020:12:25;11:22:096757;2;2
2020:12:25;11:23:827019;2;1
2020:12:25;11:23:201567;2;2
2020:12:25;11:23:574486;2;1
2020:12:25;11:23:554153;2;2
2020:12:25;11:23:918227;1;1
2020:12:25;11:23:391576;1;2
2020:12:25;11:23:126970;2;1
2020:12:25;11:23:603968;2;2
2020:12:25;11:23:169815;2;2
2020:12:25;11:23:149302;2;2
2020:12:25;11:25:030790;1;2
2020:12:25;11:25:059674;2;2
2020:12:25;11:25:016037;1;1
2020:12:25;11:25:295380;1;2
2020:12:25;11:25:414619;2;1
2020:12:25;11:25:398193;2;2
2020:12:25;11:25:864345;2;2
2020:12:25;11:25:498015;2;2
2020:12:25;11:26:937593;2;1
2020:12:25;11:26:510610;2;2
2020:12:25;11:26:375924;2;2
2020:12:25;11:26:855195;2;2
2020:12:25;11:27:933526;2;2
2020:12:25;11:27:934128;1;2
2020:12:25;11:28:628908;1;1
2020:12:25;11:28:203356;1;2
2020:12:25;11:28:881279;1;1
2020:12:25;11:28:452503;1;2
2020:12:25;11:28:017254;1;2
2020:12:25;11:28:950068;1;2
2020:12:25;11:29:170872;2;2
2020:12:25;11:29:191857;1;2
2020:12:25;11:38:988546;2;2
2020:12:25;11:38:991430;1;2
2020:12:25;11:41:350835;2;1
2020:12:25;11:41:323788;2;2
2020:12:25;11:41:789686;2;2
2020:12:25;11:41:373137;2;2
2020:12:25;11:41:970135;1;1
2020:12:25;11:41:548164;1;2
2020:12:25;11:45:401608;1;2
2020:12:25;11:46:685948;2;2
2020:12:25;11:46:697872;2;2
2020:12:25;11:47:198171;2;2
2020:12:25;11:47:197846;1;2
2020:12:25;11:47:621216;1;1
2020:12:25;11:47:599336;1;1
2020:12:25;11:47:520914;1;2
2020:12:25;11:47:584336;1;2
2020:12:25;11:47:714763;2;1
2020:12:25;11:47:962833;2;2
2020:12:25;11:47:391930;1;2
2020:12:25;11:47:456818;1;2
2020:12:25;11:47:718170;1;2
2020:12:25;11:47:739020;1;2
2020:12:25;11:47:237932;2;1
2020:12:25;11:47:609804;2;2
2020:12:25;11:47:576429;2;2
2020:12:25;11:47:751204;2;2
2020:12:25;11:47:492738;1;1
2020:12:25;11:47:514470;1;1
2020:12:25;11:47:371961;1;2
2020:12:25;11:47:396630;1;2
2020:12:25;11:47:023070;1;2
2020:12:25;11:47:038154;1;2
2020:12:25;11:47:397503;1;2
2020:12:25;11:47:411258;1;2
2020:12:25;11:48:182339;2;1
2020:12:25;11:48:863674;2;2
2020:12:25;11:50:759682;1;2
2020:12:25;11:51:257804;1;1
2020:12:25;11:51:143079;1;2
2020:12:25;11:51:907899;1;2
2020:12:25;11:51:444504;1;2
2020:12:25;11:52:232410;1;2
2020:12:25;11:52:248265;2;2
2020:12:25;11:54:644586;2;1
2020:12:25;11:54:621599;2;2
2020:12:25;11:54:448259;1;1
2020:12:25;11:54:525071;1;2
2020:12:25;11:54:390064;2;2
2020:12:25;11:54:421504;2;2
2020:12:25;11:55:506603;1;2
2020:12:25;11:55:508924;2;2
2020:12:25;11:55:225227;2;1
2020:12:25;11:55:002570;2;2
2020:12:25;11:56:169844;2;2
2020:12:25;11:56:307267;2;2
2020:12:25;11:56:334457;1;1
2020:12:25;11:56:408708;1;2
2020:12:25;11:56:274367;1;2
2020:12:25;11:56:462517;1;2
2020:12:25;11:57:669042;2;2
2020:12:25;11:57:670554;1;2
2020:12:25;11:57:376255;1;2
2020:12:25;11:57:007526;1;2
2020:12:25;11:57:980463;2;1
2020:12:25;11:57:262529;2;2
2020:12:25;11:57:927313;2;2
2020:12:25;11:57:009435;2;2
2020:12:25;12:00:780966;1;2
2020:12:25;12:00:780313;2;2
2020:12:25;12:00:065412;2;1
2020:12:25;12:00:840678;2;2
2020:12:25;12:00:404703;2;2
2020:12:25;12:00:939856;2;2
2020:12:25;12:00:978263;1;1
2020:12:25;12:00:652469;1;2
2020:12:25;12:00:217260;1;2
2020:12:25;12:00:898160;1;2
2020:12:25;12:02:518749;1;2
2020:12:25;12:02:003733;1;1
2020:12:25;12:02:079989;1;2
2020:12:25;12:03:925225;2;2
2020:12:25;12:03:305780;2;1
2020:12:25;12:03:184418;2;2
2020:12:25;12:03:249800;2;2
2020:12:25;12:03:982934;2;2
2020:12:25;12:04:405493;2;1
2020:12:25;12:04:979133;2;2
2020:12:25;12:04:770260;2;2
2020:12:25;12:04:769923;1;2
2020:12:25;12:04:331240;1;1
2020:12:25;12:05:512681;1;2
2020:12:25;12:05:280940;1;2
2020:12:25;12:05:016464;1;2
2020:12:25;12:05:761471;2;1
2020:12:25;12:05:043443;2;2
2020:12:25;12:05:108908;2;2
2020:12:25;12:05:390864;2;2
2020:12:25;12:05:700585;1;1
2020:12:25;12:05:082849;1;2
2021:01:03;14:56:348703;2;2
2021:01:03;14:56:350891;1;2
2021:01:03;14:57:945782;2;1
2021:01:03;15:01:591280;1;2
2021:01:03;15:04:480406;1;1
2021:01:03;15:07:343978;1;2
2021:01:03;15:07:072811;1;2
2021:01:03;15:07:576375;1;2
2021:01:03;15:08:653615;1;1
2021:01:03;15:11:598570;1;2
2021:01:06;11:01:667369;1;2
2021:01:06;11:01:456148;2;2
2021:01:06;11:01:022495;2;2
2021:01:06;11:01:255523;1;1
2021:01:06;11:01:130600;1;2
2021:01:06;11:01:561871;2;2
2021:01:06;11:02:954488;2;1
2021:01:06;11:02:533338;2;2
2021:01:06;11:02:528861;1;1
2021:01:06;11:02:400425;1;2
2021:01:06;11:02:304247;2;2
2021:01:06;11:02:184795;2;2
2021:01:06;11:02:558361;2;1
2021:01:06;11:02:530467;2;2
2021:01:06;11:02:280074;1;1
2021:01:06;11:02:552191;1;2
2021:01:06;11:02:101155;2;1
2021:01:06;11:02:774668;2;2
2021:01:06;11:02:745225;2;1
2021:01:06;11:02:522301;2;2
2021:01:06;11:02:130935;1;1
2021:01:06;11:02:404380;1;2
2021:01:06;11:02:928422;1;2
2021:01:06;11:02:022031;1;2
2021:01:06;11:02:603572;2;1
2021:01:06;11:02:775517;2;2
2021:01:06;11:03:325526;1;2
2021:01:06;11:03:341512;2;2
2021:01:06;11:03:416297;1;2
2021:01:06;11:03:147394;1;2
2021:01:06;11:03:122336;2;1
2021:01:06;11:03:700072;2;2
2021:01:06;11:03:370984;2;2
2021:01:06;11:03:452270;2;2
2021:01:06;11:03:132086;2;1
2021:01:06;11:03:906878;2;2
2021:01:06;11:03:740804;1;1
2021:01:06;11:03:915602;1;2
2021:01:06;11:05:592735;1;2
2021:01:06;11:05:598118;2;2
2021:01:06;11:05:676516;2;1
2021:01:06;11:05:212653;2;2
2021:01:06;11:05:978602;1;1
2021:01:06;11:05:853069;1;2
2021:01:06;11:05:819491;1;2
2021:01:06;11:05:050742;1;2
2021:01:06;11:08:469542;1;2
2021:01:06;11:08:487363;2;2
2021:01:06;11:08:842595;1;1
2021:01:06;11:08:716832;1;2
2021:01:06;11:08:863086;2;1
2021:01:06;11:08:737529;2;2
2021:01:06;11:46:303127;1;2
2021:01:06;11:46:319255;2;2
2021:01:06;11:52:701779;1;2
2021:01:06;11:52:718077;2;2
2021:01:06;12:04:110974;1;2
2021:01:06;12:04:131853;2;2
2021:01:07;09:33:563502;2;2
2021:01:07;09:33:565214;1;2
2021:01:07;09:36:971555;1;2
2021:01:07;09:36:987504;2;2
